Name,RA,Dec,Morph,Mag,Filter
UGCA 050,03:03:50.52,-25:16:20.496,Sb,14.18,V
ESO 482- G 005,03:33:02.112,-24:07:59.16,SB,14.32,B
NGC 1464,03:51:24.50592,-15:24:08.1612,??,14.16,I
GSF 016,03:51:33.2208,-46:35:46.896,E,15.04,I
UGC 04416,08:27:17,22:52:39,SBb/AGN,11.49,I
SDSS J083148.87+042939.0,08:31:49,04:29:39.086,star/QSO,15.4,r
NGC 2608,08:35:17,28:28:24,SBb/AGN,10.88,I
SDSSJ0836+0054,08:36:43.851,00:54:53.30,star/QSO_HIGHZ,18.8,z
SDSSJ091702.38-004417.5,09:17:02,-00:44:18,star/QSO,16.65,r
NGC 3265,10:31:06.768,28:47:47.976,E,12.8,I
NGC 4262,12:19:30.582,14:52:39.7812,S0,12.7,V
MRK 0841,15:04:01.0,10:26:16.0,E/QSO,13.7,R
NGC 6017,15:57:15,05:59:54,S?/PostSB,14.01,z
