Name,RA,DEC,Morph,Mag,Filter,UT,UT-range,Total_exp,Exp_B,Exp_V,Exp_R,Exp_I,Exp_Halph,Exp_z,z,Notes
SA 95-107,03:53:25.6,00:02:20.3,M,16.27,V,01:00,,,,,,,,,0,Observable 21:30
PRIO UGCA 050,03:03:50.52,-25:16:20.496,Sb,14.18,V,01:20,01:00-02:30,1522[25 min],104,37.2,29.6,23.2,640,,5.76E-03,Diameter 2.4'
ESO 482- G 005,03:33:02.112,-24:07:59.16,SB,14.32,B,01:35,01:00-03:15,839.92[14 min],46.56,16,14.08,10,280,,6.39E-03,"Very bright, 3' diameter"
PRIO NGC 1464,03:51:24.50592,-15:24:08.1612,??,14.16,I,02:00,01:00-03:15,3576[60 min],392,120,88,72,2044,,5.79E-03,Cool target to find out more about morphology?
GSF 016,03:51:33.2208,-46:35:46.896,E,15.04,I,03:10,01:00-04:00,6372[106 min],800,264,208,160,4320,,3.43E-03,"Probably we will not observe it, Relatively compact, good for spectroscopy"
2 hours to group 4,,,,,,,,,,,,,,,,
NGC 3265,10:31:06.768,28:47:47.976,E,12.8,I,05:00,05:00-06:40,1255.4[21min],92,26.4,20,14.4,440,,0.0044,"Diameter 1.3', low airmass might make it challenging for spectroscopy"
NGC 4262,12:19:30.582,14:52:39.7812,S0,12.7,V,05:30,05:10-09:00,1008[17min],32,10,8,too bright,168,,0.00453,Bright but pretty -- courtesy of Juan Carlos
MRK 0841,15:04:01.0,10:26:16.0,E/QSO,13.7,R,07:15,07:15-09:00,1923.6[32min],88,60,84,96,1824,195.2,0.036,"without Halph, Diameter 30"
NGC 6017,15:57:15,05:59:54,S?/PostSB,14.01,z,08:00,08:00-08:42,2820[47min],108,60,60,68,1140,144,0.00596,
PG1323-086, 13:25:46.1,-08:49:38.1,,,,,,,,,,,,,0, Observable at twilight
