Name,RA,Dec,Morph,Mag,Filter,Exp_B,Exp_V,Exp_r,Exp_i,Exp_Ha,Exp_z,z,Notes
UGCA 050,03:03:50.52,-25:16:20.496,Sb,14.18,V,26,9.3,7.4,5.8,160,,5.76E-03,Diameter 2.4'
NGC 3265,10:31:06.768,28:47:47.976,E,12.8,I,23,6.6,5,3.6,110,,4.40E-03,"Diameter 1.3', low airmass might make it challenging for spectroscopy"
GSF 016,03:51:33.2208,-46:35:46.896,E,15.04,I,200,66,52,40,"1,080.00",,3.43E-03,"Relatively compact, good for spectroscopy"
ESO 482- G 005,03:33:02.112,-24:07:59.16,SB,14.32,B ,11.64,4,3.52,2.5,70,,6.39E-03,"Very bright, 3' diameter"
NGC 1464,03:51:24.50592,-15:24:08.1612,??,14.16,I,98,30,22,18,511,,5.79E-03,Cool target to find out more about morphology?
NGC 4262,12:19:30.582,14:52:39.7812,S0,12.7,V,8,2.5,2,too bright,42,,4.53E-03,Bright but pretty -- courtesy of Juan Carlos
MRK 0841,15:04:01.0,10:26:16.0,E/QSO,13.7,R,22,15,21,24,,,3.60E-02,"Diameter 30"""
SDSS J083148.87+04.49419,08:31:49,04:49:41.90s,star/QSO,15.4,r,,,,,,,0.1738,
SDSS J091702.38-004417.5,09:17:02,-00:44:18,star/QSO,16.65,r,,,,,,,0.322,
SDSS J0836+0054,08:36:43.851,00:54:53.30,star/QSO_HIGHZ,18.8,z,,,,,,,5.81,
UGC 04416,08:27:17,22:52:39,SBb/AGN,11.49,I,15,5,,,,,0.0185,
NGC 2608,08:35:17,28:28:24,SBb/AGN,10.88,I,,,,,,,0.007,
NGC 6017,15:57:15,05:59:54,S?/PostSB,14.01,z,,,,,,,0.00596,
