Name,RA,Dec,Morph,Mag,Filter,Exp_B,Exp_V,Exp_r,Exp_i,Exp_Ha,Exp_z,z,Notes
NGC 1300,3:19:40.80,-19:24:40.00,SBbc,9.15,I,,,,,,,0.00526,
NGC 1350,3:31:8.4,-33:37:44,SBab,8.57,I,,,,,,,0.00635,
NGC 1365,3:33:36.31,-36:8:27.80,SBb,,,,,,,,,,
NGC 1425,3:42:11.40,-29:53:36.00,SAb,9.61,I,,,,,,,0.00504,
NGC 1954,5:32:48.33,-14:3:46.00,SAbc,11.16,V,,,,,,,0.01044,
NGC 2207,6:16:22.10,-21:22:20.00,SABbc,10.21,R,,,,,,,0.00914,Interacting galaxy merging
NGC 2997,9:45:38.70,-31:11:25.00,,,,,,,,,,,
NGC 1637,4:41:28,-2:51:29.00,,,,,,,,,,,
NGC 1744,4:59:58,-26:1:36,,,,,,,,,,, 
NGC 1792,5:05:15,-37:58:47,,,,,,,,,,,
NGC 2280,6:44:49,-27:38:22,,,,,,,,,,,
